OBJECTID,NUEVOS_CASOS,TOTAL_CASOS,TOTAL_MUERTES,TOTAL_RECUPERADOS,FECHA_ACTUALIZACION,GlobalID,NUEVOS_MUERTOS,NUEVO_RECUPERADOS
572,10,491,6,8,2020/03/26 05:00:00+00,b4a0c35c-61e2-4bac-9b50-07f8270ad341,2,0
573,48,539,6,10,2020/03/27 05:00:00+00,9ed17021-de1f-4059-8337-36fb8a181cac,0,2
574,69,608,6,10,2020/03/28 05:00:00+00,329591b9-99a5-4317-8dca-a7b5fc823443,0,0
575,94,702,10,10,2020/03/29 05:00:00+00,c7084236-fa3c-45f8-83ca-ef88627be7d4,4,0
576,96,798,14,15,2020/03/30 05:00:00+00,cbcae518-7806-49a3-b595-b50dedfc816d,4,5
577,108,906,16,31,2020/03/31 05:00:00+00,16452915-1460-44d1-80d9-71946ac9d651,2,16
578,159,1065,17,39,2020/04/01 05:00:00+00,61e691ac-db67-4fc4-aa1d-a85f0bb1fb5f,1,8
579,96,1161,19,55,2020/04/02 05:00:00+00,e48f902c-8c78-4ce7-b836-3241b4285838,2,16
580,106,1267,25,55,2020/04/03 05:00:00+00,c672c578-2423-4d68-968d-befbf3a0458e,6,0
581,106,1267,25,55,2020/04/04 05:00:00+00,8f41f1d9-1802-4324-93d2-0331a1e8099d,6,0
582,79,1485,35,88,2020/04/05 05:00:00+00,da57c60d-a98b-4ad8-8938-9f87ed467768,3,3
583,94,1579,46,88,2020/04/06 05:00:00+00,56db7f76-682e-45f7-82c0-0034857b293b,11,0
584,201,1780,50,100,2020/04/07 05:00:00+00,96184c0d-e65e-4b6b-ba3f-70f2d9450cd9,4,12
585,274,2054,54,123,2020/04/08 08:38:00+00,d0f8f936-4c93-4c09-a206-5327abbb2236,4,23
586,169,2223,69,174,2020/04/09 08:39:00+00,431ddd6f-e850-486a-ad27-9cf481db58a0,15,51
587,250,2473,80,197,2020/04/10 05:00:00+00,cb06725f-e914-4f1c-a137-a22263c10e17,11,23
588,236,2709,100,214,2020/04/11 05:00:00+00,94934836-148c-4a41-87bf-b4cfd572916f,20,17
589,67,2776,109,270,2020/04/12 05:00:00+00,39e8bb84-538c-4137-a4a2-442a99ef9afb,9,56
590,76,2852,112,319,2020/04/13 05:00:00+00,3878db6c-3420-424a-b12e-446a054ce050,3,49
591,127,2979,127,354,2020/04/14 05:00:00+00,0d1b4c17-58c1-4d7e-a2aa-870de4bc4fc1,15,35
592,126,3105,131,452,2020/04/15 05:00:00+00,c0f25f63-fd0b-4a8c-97c6-49c3a180014d,4,98
593,128,3233,144,550,2020/04/16 05:00:00+00,101fa280-8dfe-4288-b814-73205660da4e,13,98
594,206,3439,153,634,2020/04/17 05:00:00+00,5c2eb11a-5b34-425a-aee6-e928cf072060,9,84
595,182,3621,166,691,2020/04/18 05:00:00+00,c21b1476-78e6-441e-aa49-555602f0b4d7,13,57
596,171,3792,179,711,2020/04/19 05:00:00+00,6c750046-ec8a-40f3-bb37-d7976172116a,13,20
597,185,3977,189,804,2020/04/20 05:00:00+00,5fa7249e-7ac8-4b7f-bd75-b34f55d6d4d0,10,93
598,172,4149,196,804,2020/04/21 05:00:00+00,288ad058-a810-4ae8-bf55-d4e3aa2e6b4b,7,0
599,207,4356,206,870,2020/04/22 05:00:00+00,574e7a61-8a35-41c1-a612-4d9b061e7993,10,66
600,205,4561,215,927,2020/04/23 05:00:00+00,f76489a2-4afe-4556-b752-cb7e1eb48004,9,57
601,320,4881,225,1003,2020/04/24 05:00:00+00,01054ff2-0dc9-403c-a885-392a93f01792,10,76
602,261,5142,233,1067,2020/04/25 05:00:00+00,2cafa623-b32c-4127-bf62-8d2bc52e1eaa,8,64
603,237,5379,244,1133,2020/04/26 05:00:00+00,a467b20c-fc9c-43f3-b439-22e1638ddd21,11,66
604,218,5597,253,1210,2020/04/27 05:00:00+00,ddc4ecba-0a9d-4dc8-ad22-abd12db31269,9,77
605,352,5949,269,1268,2020/04/28 05:00:00+00,21bb4db7-f499-4516-a894-28441788d083,16,58
606,262,6211,278,1411,2020/04/29 05:00:00+00,9691bb11-32e1-40df-ab4a-8ec26c7f320b,9,143
607,296,6507,293,1439,2020/04/30 05:00:00+00,5f2d9795-eec5-48da-82f3-e8bc7f303096,15,28
608,499,7006,314,1551,2020/05/01 05:00:00+00,ebcf3108-d921-4176-aaf2-e873e582f17f,21,112
609,279,7285,324,1666,2020/05/02 05:00:00+00,065c8168-0c1a-413b-a480-777d39a3d5b0,10,115
610,383,7668,340,1722,2020/05/03 05:00:00+00,2926bd13-5298-4be3-8400-fe979964c05d,16,56
611,305,7973,358,1807,2020/05/04 05:00:00+00,529b7057-0a68-4fd1-9891-292600b76f20,18,85
612,640,8613,378,2013,2020/05/05 05:00:00+00,b965ac06-f26e-474a-afbe-4021f6a85e27,20,206
613,346,8959,397,2148,2020/05/06 05:00:00+00,1ecdf5b9-cc55-4dc5-b604-47b51567c404,19,135
614,497,9456,407,2300,2020/05/07 05:00:00+00,f37ea2f5-afc1-49eb-9f6d-21d9d8d3ad7e,10,152
615,595,10051,428,2424,2020/05/08 05:00:00+00,c2679310-4709-480b-bd4f-2f30b7c50948,21,124
616,444,10495,445,2569,2020/05/09 05:00:00+00,bda8ba93-3c3b-451f-b9c8-6230fcd9adab,17,145
617,568,11063,463,2705,2020/05/10 05:00:00+00,4bb74068-1ce8-4713-8640-14c38b510eca,18,136
618,550,11613,479,2825,2020/05/11 05:00:00+00,e6a9424f-c27f-47c3-9a45-fff535121b00,16,120
619,659,12272,493,2971,2020/05/12 05:00:00+00,ce3a91a9-1fad-4276-b6a9-992d5f15cc10,14,146
620,658,12930,509,3133,2020/05/13 05:00:00+00,08bd2bda-535a-435f-834d-b4d1d3eaf0e6,16,162
621,680,13610,525,3358,2020/05/14 05:00:00+00,754b332e-1885-469f-b53b-931023552e74,16,225
622,606,14216,546,3460,2020/05/15 05:00:00+00,758ca9d8-3014-4d24-a2f4-dfbd710f5135,21,102
623,723,14939,562,3587,2020/05/16 05:00:00+00,da2f1b83-20ef-4837-9400-4ad505a15094,16,127
624,635,15574,574,3751,2020/05/17 05:00:00+00,38b412de-81f9-4173-a621-361a496f4b5f,12,164
625,721,16295,592,3903,2020/05/18 05:00:00+00,612a2a5a-924d-4df0-a594-ac78d6f782b2,18,152
626,640,16935,613,4050,2020/05/19 05:00:00+00,5b736257-c51a-42bd-9ce5-cefae8f05544,21,147
627,752,17687,630,4256,2020/05/20 05:00:00+00,662387c3-e2f4-481c-b055-7ec9494b8f6c,17,206
628,643,18330,652,4431,2020/05/21 05:00:00+00,8b42ad6d-e916-48f7-a166-77d5f52d0c59,22,175
629,801,19131,682,4575,2020/05/22 05:00:00+00,3a33563b-4850-4143-8dc3-9b77b4e13f4e,30,144
630,1046,20177,705,4718,2020/05/23 05:00:00+00,215772d5-88b4-4ac5-813b-61ddf725c7a5,23,143
631,998,21175,727,5016,2020/05/24 05:00:00+00,da6dc426-ab05-4979-8afb-0d240e757c3b,22,298
632,806,21981,750,5265,2020/05/25 05:00:00+00,f4e692cf-a866-400e-9784-a067fe70f73e,23,249
633,1022,23003,776,5511,2020/05/26 05:00:00+00,03d375cc-4a5d-493a-83f3-60cfb73bb27c,26,246
634,1101,24104,803,6111,2020/05/27 05:00:00+00,4274f78c-c2bf-4188-bf6e-2e52e9992ba6,27,600
635,1262,25366,822,6665,2020/05/28 05:00:00+00,fc8b6d38-ce9a-4612-945b-ed4675d4908e,19,554
636,1322,26688,853,6913,2020/05/29 05:00:00+00,fd52acbc-8671-43d3-bdd6-fb3705eb0229,31,248
637,1548,28236,890,7121,2020/05/30 05:00:00+00,784d0f1d-6e69-48ae-9793-3228496807e4,37,208
638,1147,29383,939,8543,2020/05/31 05:00:00+00,32ae9adb-8e87-4f7d-b809-9cef8a4b470b,49,1422
639,1110,30493,969,9661,2020/06/01 05:00:00+00,22768ddb-d62d-4663-a5ed-9347cd67da03,30,1118
640,1340,31833,1009,11142,2020/06/02 05:00:00+00,61683c39-b0cf-4576-94aa-3bbe0f4f416e,40,1481
641,1521,33354,1045,12288,2020/06/03 05:00:00+00,c6af6119-a212-4aa2-b6c9-75623ac325a9,36,1146
642,1766,35120,1087,12921,2020/06/04 05:00:00+00,a048b69e-eb5c-496e-9dcf-1e3cfbc917f2,42,633
643,1515,36635,1145,13638,2020/06/05 05:00:00+00,1c71bc63-b2e5-4b88-99a3-f36c1d1e8918,58,717
644,1392,38027,1205,14382,2020/06/06 05:00:00+00,40cddd53-e9ed-4d32-8d33-43cd6a9ef491,60,744
645,1209,39236,1259,15322,2020/06/07 05:00:00+00,65e0a075-6b87-47c7-b31c-ddaf9de3473f,54,940
646,1483,40719,1308,16427,2020/06/08 05:00:00+00,30c6aa0a-1690-4299-b6e2-374bf481cc43,49,1105
647,1359,42078,1372,16534,2020/06/09 05:00:00+00,525185af-64f1-47c0-964c-48992149dbfa,64,107
648,1604,43682,1433,17333,2020/06/10 05:00:00+00,10b59642-d768-4587-bfa1-885ef8a5cedc,61,799
649,1530,45212,1488,17790,2020/06/11 05:00:00+00,521be060-ae68-4776-896a-f1ca71aa9a45,55,457
650,1646,46858,1545,18715,2020/06/12 05:00:00+00,0e0084da-a1c1-415e-9ef4-08e8bbe1d133,57,925
651,1888,48746,1592,19426,2020/06/13 05:00:00+00,359444f8-a68e-4a6f-bbfe-edda3718bf1e,47,711
652,2193,50939,1667,19822,2020/06/14 05:00:00+00,933350ab-bc4e-4044-9adc-dd3aebe6ed89,75,396
653,2124,53063,1726,19952,2020/06/15 05:00:00+00,0597b877-d149-4645-ad65-388558bea5a9,59,130
654,1868,54931,1801,20366,2020/06/16 05:00:00+00,d1363161-c341-4901-8db0-6c19908c6f2a,75,414
655,2115,57046,1864,21326,2020/06/17 05:00:00+00,bfcc7d16-43c1-426a-889a-c47f137cda47,63,960
656,3171,60217,1950,22680,2020/06/18 05:00:00+00,653d768a-5247-4679-a273-980755716e9d,86,1354
657,3059,63276,2045,23988,2020/06/19 05:00:00+00,66682951-13cd-488c-bfbd-0625ce6e3bf5,95,1308
658,2357,65633,2126,25499,2020/06/20 05:00:00+00,b96613af-73cf-4057-87b0-d2bcbba0e0f4,81,1511
659,3019,68652,2273,27360,2020/06/21 05:00:00+00,0e556b03-dde4-4035-935a-494840a45c6b,147,1861
660,2531,71183,2310,28968,2020/06/22 05:00:00+00,4a8e0016-b583-4540-8809-3e217ce9efdb,37,1608
661,2389,73572,2404,30459,2020/06/23 05:00:00+00,ec2d610c-1f38-4698-baec-0f910c147554,94,1491
662,3541,77113,2491,31671,2020/06/24 05:00:00+00,b628abcd-5ead-402d-9d53-2304dfb4e8d9,87,1212
663,3486,80599,2654,33349,2020/06/25 05:00:00+00,bf174d8f-8a9c-4030-8ca5-364547285734,163,1678
664,3843,84442,2811,34937,2020/06/26 05:00:00+00,d8cf45c9-4f8c-4312-991e-1c9fa152daba,157,1588
665,4149,88591,2939,36273,2020/06/27 05:00:00+00,7c1e1fc9-4d49-44fa-8eb1-d13b0df75b9c,128,1336
666,3178,91769,3106,38280,2020/06/28 05:00:00+00,a633454c-0564-4450-bb8d-99c8d9c8f161,167,2007
667,3274,95043,3223,39954,2020/06/29 05:00:00+00,52961b7f-ed22-483f-8569-9dab5ef86646,117,1674
668,2803,97846,3334,42073,2020/06/30 05:00:00+00,d46bbdcf-6e13-42af-b21d-e68ae22757d8,111,2119
669,4163,102009,3470,43407,2020/07/01 05:00:00+00,6e6638f0-3b20-4511-a22d-d212e761928b,136,1334
670,4101,106110,3641,44531,2020/07/02 05:00:00+00,db5a2ee3-9f7d-42c3-bb93-6c5690cfef6e,171,1124
671,3395,109505,3777,45334,2020/07/03 05:00:00+00,63e745d2-53ea-4a26-b362-00e9dae73db2,136,803
672,3884,113389,3942,46563,2020/07/04 05:00:00+00,18e0e060-c0d7-42cc-9d1b-10be17e56f80,165,1229
673,3721,117110,4064,47881,2020/07/05 05:00:00+00,e1ddfc24-c485-48c2-bb8c-bdb2c1785b91,122,1318
674,3171,120281,4210,50372,2020/07/06 05:00:00+00,a21aa78e-46b2-456c-a584-97dc17e76612,146,2491
675,4213,124494,4359,51861,2020/07/07 05:00:00+00,29731845-fbe3-4904-baa1-d00c20128f45,149,1489
676,4144,128638,4527,53634,2020/07/08 05:00:00+00,676db5b7-9d0d-42d3-b8af-6cc4bcbbe996,168,1773
677,5335,133973,4714,56272,2020/07/09 05:00:00+00,0b8b3880-f192-4af8-8368-6db16985ad70,187,2638
678,6803,140776,4925,58800,2020/07/10 05:00:00+00,662b0e5d-60e3-4afa-b9e6-c77fdf47cf6c,211,2528
679,4586,145362,5119,61186,2020/07/11 05:00:00+00,a7731b5e-85b0-4ab2-ad7a-f380615d4777,194,2386
680,5083,150445,5307,63451,2020/07/12 05:00:00+00,449ed152-fd2c-4956-bb59-9da834a2efcf,188,2265
681,3832,154277,5455,65809,2020/07/13 05:00:00+00,713124c8-86f5-4a0c-bfc7-df5351eb5bcf,148,2358
682,5621,159898,5625,68806,2020/07/14 05:00:00+00,1652d00a-488d-4f1d-9f4e-0e4e0ce5b206,170,2997
683,5271,165169,5814,71738,2020/07/15 05:00:00+00,db6209d0-9879-4ca8-bdbc-c6c039fc73e5,189,2932
684,8037,173206,6029,76164,2020/07/16 05:00:00+00,f7d7962e-ee83-4fc6-8a8a-446bda6f8cd0,215,4426
685,8934,182140,6288,80637,2020/07/17 05:00:00+00,3ba2a764-a7ff-4f34-83a0-8d16a916e437,259,4473
686,8560,190700,6516,85836,2020/07/18 05:00:00+00,3bc88fea-3a70-47d8-82dd-c5abd6d9c49e,228,5199
687,6578,197278,6736,91793,2020/07/19 05:00:00+00,352c09c0-eb87-4fe7-a474-333fbf1bfb18,220,5957
688,6727,204005,6929,95804,2020/07/20 05:00:00+00,3fd89d30-be49-4091-812d-040c7c7deb8e,193,4011
689,7033,211038,7166,98840,2020/07/21 05:00:00+00,11e30a83-efef-4fc0-819a-7f3e4adc14ed,237,3036
690,7390,218428,7373,101613,2020/07/22 05:00:00+00,1b692d07-af1d-43de-9267-2ae221bb8239,207,2773
691,7945,226373,7688,107951,2020/07/23 05:00:00+00,11ff45e6-8133-41f4-b4f8-f0c18a20490f,315,6338
692,7168,233541,7975,113864,2020/07/24 05:00:00+00,628cfaaf-0a26-48a9-a1fd-47e1312b33f9,287,5913
693,7254,240795,8269,119667,2020/07/25 05:00:00+00,b0d9e553-3b59-4366-b4e2-01541e10c51e,294,5803
694,8181,248976,8525,125037,2020/07/26 05:00:00+00,f0559828-5307-4433-b27a-95aeda3d4a49,256,5370
695,8125,257101,8777,131161,2020/07/27 05:00:00+00,ff4fd660-af56-424c-96de-0eac88b97bcb,252,6124
696,10284,267385,9074,136690,2020/07/28 05:00:00+00,e76e454f-25db-45b3-9b68-3b4b1499dbdb,297,5529
697,8670,276055,9454,142777,2020/07/29 05:00:00+00,f78b3688-8005-451c-baca-e2dfeacbe039,380,6087
698,9965,286020,9810,148695,2020/07/30 05:00:00+00,823bd136-f93e-42ad-81f3-873296b12e74,356,5918
699,9488,295508,10105,154387,2020/07/31 05:00:00+00,5dea4965-83ea-4a7a-92e7-ef1169a0377c,295,5692
700,10673,306181,10330,160708,2020/08/01 05:00:00+00,624fc6d6-2406-44e1-a83b-7e4e79de38d7,225,6321
701,11470,317651,10650,167239,2020/08/02 05:00:00+00,e25cd5ad-4924-463d-a690-f8ed00502c6f,320,6531
702,10199,327850,11017,173727,2020/08/03 05:00:00+00,6f81df80-a1f8-4c51-989b-fbf23a282eba,367,6488
703,7129,334979,11315,180258,2020/08/04 05:00:00+00,151bc087-3a63-43c7-9c95-e7041bd190ca,298,6531
704,10735,345714,11624,186317,2020/08/05 05:00:00+00,864603fc-8a9a-4e1f-a2ff-3467e8890555,309,6059
705,11996,357710,11939,192355,2020/08/06 05:00:00+00,aacac648-68e0-45fa-92c7-ceffdfd7331c,315,6038
706,9486,367196,12250,198495,2020/08/07 05:00:00+00,5ebb8c0a-36b9-400c-a072-3dbb8d791bfb,311,6140
707,9674,376870,12540,204591,2020/08/08 05:00:00+00,f3b32d26-4095-43b2-8fdb-009bf260ced4,290,6096
708,10611,387481,12842,212688,2020/08/09 05:00:00+00,87856463-9149-4133-aa50-3bb52731c917,302,8097
709,10142,397623,13154,221485,2020/08/10 05:00:00+00,c7bb656c-1233-46f6-9764-49ce56663bd2,312,8797
710,12830,410453,13475,230427,2020/08/11 05:00:00+00,32b66795-d523-4327-99f3-21205e94252e,321,8942
711,12066,422519,13837,239785,2020/08/12 05:00:00+00,263337ec-ecf2-4a2d-9f8f-68e9eae59962,362,9358
712,11286,433805,14145,250494,2020/08/13 05:00:00+00,4ebd3f41-ca2f-4973-a3ed-4377fbc48604,308,10709
713,11306,445111,14492,261296,2020/08/14 05:00:00+00,c2752ffe-b710-46d9-b8b2-02f9f376ec42,347,10802
714,11578,456689,14810,274420,2020/08/15 05:00:00+00,137fd4b9-3277-4d4a-8e48-774b835d77ed,318,13124
715,11643,468332,15097,287436,2020/08/16 05:00:00+00,fc3360fd-254a-471a-b425-aef0c788d50e,287,13016
716,8328,476660,15372,301525,2020/08/17 05:00:00+00,73fec651-a042-4767-b560-32e4c03edbca,275,14089
717,12462,489122,15619,312323,2020/08/18 05:00:00+00,2e9f598f-ae8c-42e4-9f85-ae14463e69dc,247,10798
718,13056,502178,15979,326298,2020/08/19 05:00:00+00,8bc6a6f4-dd0e-4673-af45-f87e96e88080,360,13975
719,11541,513719,16183,339124,2020/08/20 05:00:00+00,3c194452-44d9-41cf-886a-93c41c9c4494,204,12826
720,8419,522138,16568,348940,2020/08/21 05:00:00+00,28141d2f-391d-4b09-8086-fd172c021047,385,9816
721,10965,533103,16968,359792,2020/08/22 05:00:00+00,b1ce884c-3b32-463d-babc-910e37bc95dd,400,10852
722,8044,541147,17316,374030,2020/08/23 05:00:00+00,5b8fca6a-8557-42e4-a0cb-dfa92544f6a3,348,14238
723,10549,551696,17612,384171,2020/08/24 05:00:00+00,c65efe42-1ffe-432c-a1ba-2afa70b34eab,296,10141
724,10432,562128,17889,395470,2020/08/25 05:00:00+00,5bd14446-0237-4d4b-9110-42e4d4fd19eb,277,11299
725,10142,572270,18184,407121,2020/08/26 05:00:00+00,7d83ffc0-4fac-4e91-b570-4bd5031e15df,295,11651
726,9752,582022,18468,417793,2020/08/27 05:00:00+00,b9787ceb-65ad-4223-92ba-309f518cfcb5,284,10672
727,8498,590520,18767,429620,2020/08/28 05:00:00+00,3104fca7-fdc5-44c8-aaf9-42f02d312cc6,299,11827
728,9394,599914,19064,440574,2020/08/29 05:00:00+00,4477a4ed-6dc2-4057-8d4c-7e22affb75d7,297,10954
729,8024,607938,19364,450621,2020/08/30 05:00:00+00,0fed7c6f-56fc-4131-bc8f-f070a8ff9852,300,10047
730,7230,615168,19663,459475,2020/08/31 05:00:00+00,c23d2ac6-c777-41de-a310-621e8363a22f,299,8854
731,8901,624069,20053,469557,2020/09/01 05:00:00+00,d3a7d502-7828-4c70-b3b7-f86014fe78a6,390,10082
732,9270,633339,20348,479568,2020/09/02 05:00:00+00,1f2f95e9-e5a4-4938-9ea8-54978d392f83,295,10011
733,8235,641574,20618,489151,2020/09/03 05:00:00+00,bc64eec6-1842-4e09-95eb-ae9ff9317b81,270,9583
734,8488,650062,20888,498221,2020/09/04 05:00:00+00,8c315c4f-a825-4397-89b6-000b4151b799,270,9070
735,8394,658456,21156,507770,2020/09/05 05:00:00+00,9e31c84c-408d-486f-9d2d-ac6145eb088b,268,9549
736,8065,666521,21512,518229,2020/09/06 05:00:00+00,4247b157-d4a6-4e23-b8b7-8d13e6f8dbf7,356,10459
737,5327,671848,21615,529279,2020/09/07 05:00:00+00,380203f0-29db-4add-85ed-6abc548748c2,103,11050
738,7665,679513,21817,541462,2020/09/08 05:00:00+00,151e881b-3e14-4ea8-ab11-e178f8d8c57e,202,12183
739,7338,686851,22053,552885,2020/09/09 05:00:00+00,caa7318a-8f90-4678-9f12-d6b4218106e5,236,11423
740,7813,694664,22275,569479,2020/09/10 05:00:00+00,7041e615-2536-4451-b890-c18d4c9c5eeb,222,16594
741,7424,702088,22518,582694,2020/09/11 05:00:00+00,9016a1ce-80fc-4a39-8d76-f9e9ad8c15d1,243,13215
742,6826,708914,22734,592820,2020/09/12 05:00:00+00,4b15ef12-4e1d-476b-8e35-99e535c7e2ee,216,10126
743,7355,716319,22924,599385,2020/09/13 05:00:00+00,9ae0050c-34dc-4a76-9ce9-43272a852ab5,190,6565
744,5573,721892,23123,606925,2020/09/14 05:00:00+00,d562dff0-304f-498d-b88d-e9ad1cca2aef,199,7540
745,6698,728590,23288,607978,2020/09/15 05:00:00+00,24c36e53-d2d7-406f-8f20-134bde226c85,165,1053
746,7787,736377,23478,610078,2020/09/16 05:00:00+00,2783a30a-e072-4b9b-b147-98b0dfd369ac,190,2100
747,7568,743945,23665,615457,2020/09/17 05:00:00+00,24e41849-9e6b-44ac-b145-25e77cf5340b,187,5379
748,6526,750471,23850,621521,2020/09/18 05:00:00+00,7251eff8-24c2-42d1-b0b2-af9fb310a8e9,185,6064
749,7927,758398,24039,627685,2020/09/19 05:00:00+00,82802abd-aad0-4c9b-b73b-b576e320ede2,189,6164
750,6678,765076,24208,633199,2020/09/20 05:00:00+00,bb1ad249-b2c1-4f82-a0bb-1ceaef767b01,169,5514
751,5359,770435,24397,640900,2020/09/21 05:00:00+00,43f0c1c3-d035-4b47-8f99-53ee02a5449d,189,7701
752,7102,777537,24570,650801,2020/09/22 05:00:00+00,a6c2f031-1f60-4fde-beed-4b05b8bc632a,173,9901
753,6731,784268,24746,662277,2020/09/23 05:00:00+00,f6819bfa-9250-48bb-b91b-3d287207ec9b,176,11476
754,6555,790823,24924,674961,2020/09/24 05:00:00+00,b16a8e9f-3df8-49f1-8e2a-39fcd6a86c12,178,12684
755,7494,798317,25103,687477,2020/09/25 05:00:00+00,5393d98c-de7d-44d3-818d-a1e5609c3052,179,12516
756,7721,806038,25296,700112,2020/09/26 05:00:00+00,fe5d547f-45cd-4578-b438-75f1cbba6ac6,193,12635
757,7018,813056,25488,711472,2020/09/27 05:00:00+00,b59bcd7b-7e00-43b6-ac07-fe28dd28f786,192,11360
758,5150,818206,25641,722536,2020/09/28 05:00:00+00,e5265411-e022-4a59-8b85-7056cc7b7c9b,153,11064
759,5836,824042,25828,734154,2020/09/29 05:00:00+00,965dc346-9ffe-4796-bce2-e5f2d2631be0,187,11618
760,5637,829679,25998,743653,2020/09/30 05:00:00+00,387c291a-9762-451a-b5d9-1e8522e2a9be,170,9499
761,5660,835339,26196,751691,2020/10/01 05:00:00+00,a04fb3ec-6faa-43c2-8f6a-c5ded8152ff1,198,8038
762,6192,841531,26397,753953,2020/10/02 05:00:00+00,1389bebd-2895-4b3f-b831-71270531d95a,201,2262
763,6616,848147,26556,757801,2020/10/03 05:00:00+00,90490455-e4be-433c-a033-c6e5708e013c,159,3848
764,6905,855052,26712,761674,2020/10/04 05:00:00+00,7c0465ea-f741-47f4-a5e5-b28085bac2d1,156,3873
765,7106,862158,26844,766300,2020/10/05 05:00:00+00,e70ce5db-3b45-4866-8e58-abfe06b27ddf,132,4626
766,7650,869808,27017,770812,2020/10/06 05:00:00+00,828d51fb-f503-4523-8380-ef9864d619e8,173,4512
767,7875,877683,27180,773973,2020/10/07 05:00:00+00,800be967-7db1-4545-8162-bac4618b67f9,163,3161
768,8496,886179,27331,777658,2020/10/08 05:00:00+00,41c4548c-2918-4f86-bcc7-386668be8ecf,151,3685
769,8121,894300,27495,780547,2020/10/09 05:00:00+00,92f7153e-824d-479a-82be-c85bd582ea50,164,2889
770,8447,902747,27660,783131,2020/10/10 05:00:00+00,276bd8d6-3b3d-4f96-9e80-53e21fe5e552,165,2584
771,8569,911316,27834,789787,2020/10/11 05:00:00+00,aec5c8dd-e6c7-490d-bd3c-f6605ea28fb0,174,6656
772,7767,919083,27985,798396,2020/10/12 05:00:00+00,124e8565-3037-4861-b397-322e44684bd5,151,8609
773,5013,924096,28141,806703,2020/10/13 05:00:00+00,392db865-b8c4-49ca-a63e-dab5ce34179c,156,8307
774,6063,930159,28306,816667,2020/10/14 05:00:00+00,22d4e95d-1a9b-405a-8a87-bf78055692cb,165,9964
775,6823,936982,28457,826831,2020/10/15 05:00:00+00,e62adc08-a61c-48f4-bded-876aa2039fd6,151,10164
776,8372,945354,28616,837001,2020/10/16 05:00:00+00,0c387a3d-c931-4ff9-a5c2-b0133abda4c9,159,10170
777,7017,952371,28803,847467,2020/10/17 05:00:00+00,426a0a81-fbab-448c-8d3d-9a696d344d55,187,10466
778,7201,959572,28970,858294,2020/10/18 05:00:00+00,f622986f-43fd-4d3b-a14e-2a8ebc2b14ff,167,10827
779,6311,965883,29102,867961,2020/10/19 05:00:00+00,2a387c06-a400-464d-a6a4-4bd295a77a01,132,9667
780,8256,974139,29272,876731,2020/10/20 05:00:00+00,e5b1c9c3-f6ba-42b7-b9c1-8b24ac8ebac3,170,8770
781,7561,981700,29464,884895,2020/10/21 05:00:00+00,10379244-cae4-4d4c-a634-6583e541f4db,192,8164
782,8570,990270,29636,893712,2020/10/22 05:00:00+00,bf30c171-d8b5-4af3-953d-4693c45c96de,172,8817
783,8672,998942,29802,901652,2020/10/23 05:00:00+00,7172fd06-97e3-4c11-b696-a77093231ae6,166,7940
